"小悪魔A","Imp A"
"<店員>
『はい、もう一度おもらしぴゅっぴゅ～♡
　おっぱいに甘えて赤ちゃんになりながら、
　情けなく射精しなさい♡変態♡シコシコ♡』",""
"<店員>
『言われた通りに、
　またたくさん経験値を出してしまいましたね♡
　いいこでちゅよー♡』",""
"彼女の甘い乳房の中で溺れ、
射精の余韻に浸って身体を震わせている貴方に、
店員はくすくすと笑いながらそう言葉を投げかける。",""
"<店員>
『2度目にもこんなに出してしまって…♡
　きっともう、3度目も出してしまえば、
　お客様は有象無象に逆戻りしてしまいますね♡』",""
"<店員>
『次に来た時は甘やかすことなく、
　簡単に搾り取ってしまうことになりそうですが……
　最後にもう一度、おっぱいにここで甘えていきますか？』",""
"<店員>
『うふふ♡ママのおっぱいにそんなに甘えたいんですね♡
　いいですよ♡これが最後かもしれないので、
　うんと甘やかしてあげましょう♡』",""
"<店員>
『もう一度このレベルを目指すモチベーションになるよう、
　ママがおっぱいとおててで、
　たっぷりと気持ちよくしてあげまちゅからねー♡』",""
"店員は再び柔らかな乳房を貴方の顔に擦りつけ、
魅惑的な乳白色の丘の綺麗な乳頭を貴方の口に含ませる。",""
"貴方は与えられる彼女のおっぱいに埋もれながら、
思う存分甘えてちゅぱちゅぱと乳首を吸う。
欲望のままに乳房に吸い付くたびに、慣れることのない、
仄かな甘さが貴方の脳を犯し、すぐに肉棒は固さを取り戻す。",""
"<店員>
『ほら、おちんちんシコシコ♡
　ぬるぬるのおててで、
　気持ちのいいところをしっかり撫でてあげまちゅよ♡』",""
"<店員>
『お客様は赤ちゃんになって
　ママのおっぱいを吸ってるだけで良いでちゅからねー♡
　シコシコ♡シコシコ♡』",""
"呼吸をするたび、乳首を吸うたびに、
貴方の思考は再び彼女の乳房の甘さに支配されていき、
手コキによる愛撫に貴方は身体を震わせる。",""
"<店員>
『くすくす♡
　ずっとママのおっぱいに甘やかされて、
　もうまともな思考なんてできまちぇんよね♡』",""
"<店員>
『一度に3回もレベルドレインされて、
　大幅に弱体化してしまうというのにお客様は、
　必死になっておっぱいをちゅぱちゅぱしているだけ♡』",""
"<店員>
『そしてこのまま、ママのおっぱいが美味しくて、
　必要以上に経験値をドレインされてしまう♡
　本当に情けない冒険者さんでちゅねー♡』",""
"嘲るような彼女の言葉も、貴方の耳には届かない。
ただ妖艶なその声音だけが情報として処理され、
貴方は乳房に甘えながら彼女の手コキに溺れ続ける。",""
"<店員>
『そんなお客様が、
　よくここまでレベルを上げることが出来まちたね♡
　ただ運がよかっただけでしょうか♡』",""
"<店員>
『でも、そんな奇跡は長くは続きませんよね♡
　NPCのおっぱいに溺れて何もできなくなるお客様なんて、
　そのうち簡単にゲームオーバーになってしまうでしょう♡』",""
"<店員>
『ですのでその前に♡
　しっかりとママがお客様の経験値を、
　ドレインして差し上げまちゅよ♡シコシコ♡』",""
"店員は肉棒を激しく扱きながら、
そう貴方を甘やかすような声色のまま嘲り、
乳房を貴方の顔に擦りつける。",""
"<店員>
『お客様はもう、
　女のおっぱいに甘えるしか能がない、
　ただの大きな赤ちゃん♡』",""
"<店員>
『ママのおっぱいちゅぱちゅぱしながら、
　おちんちんよしよしされて経験値を、
　ぴゅっぴゅしてしまうだけのミルクタンクでちゅね♡』",""
"<店員>
『お客様の経験値は、
　アイテムとして他のお客様に有効利用して頂きますので♡
　ぴゅっぴゅっておもらししてくだちゃいね♡シコシコ♡』",""
"貴方は彼女の甘やかすような声音だけに反応し、
肉棒は嬉しそうに震えながら、
彼女の手に精液を放とうと準備を整え始める。",""
"<店員>
『ほら、ほら♡
　イきなさい♡レベルだけが取り柄のミルクタンク♡
　大量の経験値をおもらしぴゅっぴゅ～♡』",""
"<店員>
『うふふ♡
　また言われた通りにおもらしできて偉いでちゅよ♡
　今度も大量の経験値でちゅね♡』",""
"貴方の経験値が溶け込んだ精液を吸収しながら、
店員はビクビクと震える肉棒を撫でてそう言う。",""
"<店員>
『それでは、これが今回の経験値買い取り代金です♡
　お受け取りください、お客様♡』",""
"貴方は店員から39000Gを受け取った。",""
"<店員>
『またママのおっぱいに甘えたくなったら、
　レベルをもう一度上げてからここに来てください♡』",""
"<店員>
『そうすれば、
　またミルクタンクとして搾って差し上げますよ♡
　甘えん坊の変態さん♡』",""
"<店員>
『あら、理性的な判断が出来るようで何よりです♡
　ちゃんと自分で考えられて偉いでちゅね♡』",""
"貴方は店員から26000Gを受け取った。",""
"<店員>
『またママのおっぱいに甘えたくなったら、
　ここに来てください♡』",""
"<店員>
『有象無象のレベルでなければ、
　もう一度ドロドロに溶かすまで、
　ママが甘やかして差し上げますよ♡』",""
"貴方は店員から13000Gを受け取った。",""
"”2層にて盗賊サキュバスと戦う”","Fight Thief Succubus on the second floor."
"盗賊サキュバスと戦闘を行いますか？","Fight Thief Succubus?"
"<盗賊サキュバス>
『くすくす♪ボクの勝ち♡
　これから君のレベル、ボクが全部盗んであげるね♡』",""
"盗賊サキュバスは後ろから貴方を羽交い締めにしながら、
耳元で艶っぽく唇を動かして言葉を紡ぐ。",""
"<盗賊サキュバス>
『大丈夫大丈夫♡怖いことはないよ♡
　また、気持ちよくしてあげるだけから♡ちゅっ♡』",""
"レベルを全て吸われる、その言葉が意味することを想像して、
身体をこわばらせる貴方を安心させるように、
彼女は甘く唇で耳たぶをついばむ。",""
"<盗賊サキュバス>
『ちゅっ♡ちゅっ♡
　こうやってお耳を唇で吸われると、
　ゾクゾクってしちゃうでしょ？』",""
"<盗賊サキュバス>
『ほら、おちんちんも大きくなってる♡
　ここから、たっぷり、レベルを搾り取ってあげるからね♡』",""
"<盗賊サキュバス>
『大丈夫♡君はただ、
　ボクの責めに溺れていたらいいだけだからさ♡れろぉ♡』",""
"盗賊サキュバスは貴方の耳の中に舌をいれ、
内側を舌先でなぞるようにしながら、
勃起した肉棒を両足の裏で挟み込む。",""
"軽く圧迫されただけでびくんっと反応した肉棒を、
彼女は両足の裏でリズムカルに扱き始める。",""
"その刺激に貴方は腰が砕けそうになりながらも、
それでもゲームオーバーにはなりたくないと、
首を横に振って耐えようとする。",""
"<盗賊サキュバス>
『まぁ、嫌だって言っても無理やり盗んじゃうんだけどね♡
　ボクは、わるーい盗賊だからさ♡』",""
"彼女はくすくすとからかうような声を耳元で囁きながら、
的確に弱点に足を絡みつかせて愛撫する。",""
"<盗賊サキュバス>
『ほらほら、冒険者さまぁ♡
　わるーい盗賊のボクに足コキされて、
　大切な経験値だしてぇ♡ちゅっ♡』",""
"盗賊サキュバスは甘たっるい声でそうねだりながら、
ぐにぐにと両足の裏で亀頭を刺激する。",""
"彼女の柔らかな肢体を背中に押し付けられながらの足コキに、
貴方の身体は否が応でも反応してしまう。",""
"<盗賊サキュバス>
『くすくす♪ここを責められるのが弱いの？
　弱点が分かりやすいおちんちんだね♡』",""
"<盗賊サキュバス>
『それならボクが、重点的にぐりぐりしてあげる♡
　ボクに負けちゃったよわーい冒険者の君に、
　いつまで耐えられるかな？れろぉ♡』",""
"彼女は挑発的な言葉を耳元で囁きながら、
舌を耳の内側に這わせ、
両足の裏で擦り合わせるように肉棒の先端を刺激する。",""
"先端に重点的に与えられる刺激に、
貴方はつい腰を浮かせて反応してしまう。",""
"<盗賊サキュバス>
『腰がびくびくしてるね♡
　ボクの足の裏に自分からおちんちん擦りつけて、
　腰をへこへこさせちゃう、惨めな動き♡』",""
"<盗賊サキュバス>
『盗賊のボクなんかに負けちゃった、
　情けない冒険者にはお似合いの恥ずかしい動きだね♡』",""
"耳元でそう煽る彼女の甘い声に興奮を煽られながら、
貴方は彼女の足コキに追い詰められていく。",""
"<盗賊サキュバス>
『ほらほら♡もう諦めて経験値だしちゃってよ♡
　わるーい敵に負けちゃった冒険者さまの末路なんて、
　ずっと昔から決まってるんだからさ♡』",""
"<盗賊サキュバス>
『君はもう、おちんちんから情けなくぴゅっぴゅっして、
　ボクに経験値を搾り取られちゃうしかないんだよ♡』",""
"貴方の耳元でそう言い聞かせるように囁きながら、
盗賊サキュバスは足で肉棒を扱く速度を上げていく。",""
"自身の肉棒が、艶やかな彼女の足に愛撫され、
貴方は思わずその快楽に溺れてしまいそうになる。",""
"それでも、ゲームオーバーになったその先を知る貴方は、
簡単にあきらめることなんてできず、
歯を食いしばって快感に耐えようとする。",""
"<盗賊サキュバス>
『ふぅん、まだ耐えようとするんだ？
　弱いのに、強情な冒険者さま♡』",""
"<盗賊サキュバス>
『君がいくら頑張ったって、
　ボクの足コキに耐えることなんてできやしない♡』",""
"<盗賊サキュバス>
『ボクに負けた時点でそれは明らかなのに……
　それでも、まだ無駄な努力を続けるんだね♡』",""
"盗賊サキュバスはくすくすと貴方に耳元で笑いながら、
貴方の抵抗は無駄だと示すように激しく足を動かす。",""
"程よく柔らかな彼女の両足の圧迫と、
それに上下に扱かれる肉棒に、
貴方は我慢しようとしても快楽をつのらせてしまう。",""
"<盗賊サキュバス>
『ほらほら♡そんな強情な君も、ボクが溶かしてあげる♡
　お耳をなめながら、どんどん足コキを激しくしちゃうよ♡
　れろぉ♡』",""
"彼女は真っ赤な舌で貴方の耳を舐めまわしながら、
しゅっしゅっと両足でカリ首周辺を圧迫しながら往復する。",""
"彼女の舌が耳の中を這うたびに貴方はゾクゾクとしてしまい、
弱点を把握したような足コキに、
徐々に我慢汁があふれ出してしまう。",""
"<盗賊サキュバス>
『あ、おちんちんぬるぬるしてきたね♡
　やっぱりボクにこうされると耐えられないんだ？』",""
"盗賊サキュバスは勝ち誇るように耳元でそう囁きながら、
溢れる我慢汁をローション代わりに足コキを激しくしていく。",""
"貴方はその激しい足コキに身もだえしながらも、
なんとか腰に力を入れて射精を堪えようとする。",""
"<盗賊サキュバス>
『もう意地なんて張っても無駄だってば♡
　ほらほらほら♡もう君のおちんちん、
　ボクの足に屈服しちゃいそうだよ♡』",""
"彼女の言う通り、
柔らかな足裏が肉棒を上下に往復するたびに、
貴方は精液が漏れてしまいそうな感覚に陥る。",""
"<盗賊サキュバス>
『こうやって、ボクの足で無理やり搾りだしてあげる♡
　出せ♡経験値出せ♡』",""
"耳元で命令するような彼女の言葉と、
ぐちゅぐちゅと音を立てながら肉棒を扱く彼女の両足に、
ついに貴方の肉棒は屈服してしまう。",""
"<盗賊サキュバス>
『ボクの足コキに負けて、君の大切な経験値♡
　大量に出しちゃってよ♡ほら、イけ♡れろぉ♡』",""
"<盗賊サキュバス>
『あはは♡嫌だって言いながら、
　すっごくたくさん出しちゃったね♡』",""
"盗賊サキュバスは自身の足にかかった、
貴方の経験値が溶け込んだ精液を貴方に見せつける。",""
"<盗賊サキュバス>
『わるーい盗賊のボクに無理やり力を奪われるなんて♡
　情けない冒険者さま♡ちゅっ♡』",""
"彼女はくすくすと貴方を耳元で甘くそう煽り、
ちゅっと耳たぶを音を立てて吸う。",""
"<盗賊サキュバス>
『くすくす♪ほんとにこのまま、
　ボクにすべてを吸い尽くされちゃうね♡』",""
"<盗賊サキュバス>
『情けない冒険者さまには、お似合いの末路かな？
　ほらほら♡またボクの足コキで経験値搾りだしてあげる♡』",""
"彼女は貴方を解放することなく、
射精直後の敏感な肉棒に足をあてがい、
両足の裏をぐりぐりと先端に擦りつける。",""
"<盗賊サキュバス>
『もうやめてくれ？
　ダメだよ、やめてあげない♡』",""
"<盗賊サキュバス>
『恨むなら、
　弱いのにボクに勝負を挑んだ自分を恨んでね♡れろぉ♡』",""
"彼女は悲鳴を上げる貴方を後ろから捕まえたまま、
肉棒を容赦なく足コキで追い詰めていく。",""
"舌で抵抗を溶かすように貴方の耳をなめ、
脱力してしまったところを両足で肉棒を上下に扱く。",""
"<盗賊サキュバス>
『くすくす♪わるーい盗賊に挑む前に、
　もっと準備をしたらよかったんだよ♡』",""
"<盗賊サキュバス>
『自分の実力を勘違いしちゃったから、
　こんな風に冒険が終わっちゃう♡』",""
"<盗賊サキュバス>
『ボクに足コキされて、
　いままで溜めてきた経験値を全て奪われちゃう♡ちゅっ♡』",""
"彼女は残酷な貴方の末路を甘い声で告げながら、
ちゅっちゅっと柔らかな唇で耳たぶをついばむ。",""
"嫌がる貴方を後ろから押さえつけ、
容赦なく激しく足を動かして肉棒を擦り上げる。",""
"<盗賊サキュバス>
『くすくす♪
　もうおちんちんぬるぬるしてきたね♡』",""
"<盗賊サキュバス>
『また、ボクに経験値を奪われちゃう♡
　ほらほらぁ♡出してぇ♡冒険者さまぁ♡
　ボクの足によわーい冒険者様の経験値、出してぇ♡』",""
"甘く見下したように耳元での彼女のおねだりに、
貴方の肉棒は反応して、彼女の両足の裏の中で震えてしまう。",""
"<盗賊サキュバス>
『ぜーんぶ、ボクが受け取ってあげる♡
　だ・か・らぁ♡』",""
"<盗賊サキュバス>
『出せ♡出せ♡
　ボクの足に敗北射精して、惨めに経験値奪われちゃえ♡』",""
"<盗賊サキュバス>
『あはは♡もうボクに言われるがままだね♡
　ほら、もっと出せ♡冒険者さま♡』",""
"盗賊サキュバスは射精の最中も足の動きを止めず、
さらに搾りだすように両足で肉棒を扱き上げる。",""
"<盗賊サキュバス>
『ほら、もっと♡もっとだよ♡
　ボクの足に君の力、ぜーんぶ出せ♡』",""
"貴方は彼女にすべてのレベルを吸い取られ、
意識を失ってしまった。",""
"”2層にてドライアドと戦う”","Fight Dryad on the second floor."
"ドライアドと戦闘を行いますか？","Fight Dryad?"
"<ドライアド>
『うふふ♡私の勝ちよ♡
　私のおっぱいの甘い香りで、
　頭の中トロトロになりながら負けちゃったわね♡』",""
"ドライアドは完全に脱力した貴方を抱きしめ、
乳房の谷間に貴方の顔を捕らえたままそう勝利宣言をする。",""
"<ドライアド>
『さぁ、このままレベルを全て吸い尽くしてあげるわ♡
　幸せの中に溺れながら、逝っちゃいなさい♡
　むにゅぅぅ♡』",""
"ドライアドは豊満な乳房で貴方の顔を圧迫し、
谷間の魅惑的な甘い香りをたっぷりと吸い込ませる。",""
"鼻腔をくすぐる濃厚な甘い香りに、
貴方の肉棒はいともたやすく固さを取り戻してしまう。",""
"<ドライアド>
『ほらほら♡いつまで甘えているのかしら♡
　ちゃんと自分で、私にレベルをささげるの♡』",""
"<ドライアド>
『オナニー、しなさい♡
　おっぱいに溺れながら、シコシコ♡シコシコ♡』",""
"甘い香りをもちもちとした乳房で貴方の顔に刷り込みながら、
彼女はそう命令し、甘い声でリズムをとる。",""
"貴方はレベルを吸い尽くされてしまうことに、
恐怖を覚えながらも、彼女の甘い誘惑に逆らえず、
肉棒を握りしめて上下扱き始めてしまう。",""
"<ドライアド>
『そうそう、その調子よ♡
　ちゃんと私の声に合わせてオナニーするの♡』",""
"<ドライアド>
『女に命令されるオナニーは気持ちいい♡
　極上のオナニーを最期にできて、よかったわね♡
　シコシコ♡シコシコ♡』",""
"むにゅっと押し付けられた乳房に貴方の意思は奪われ、
彼女の甘い言葉のリズムに合わせて肉棒を扱いてしまう。",""
"肉棒を扱きながら、この先に待ち受ける未来を想像して、
嫌だ、気持ちよくなりたくないと、
貴方は彼女のおっぱいの中で泣き言をこぼす。",""
"<ドライアド>
『うふふ♡嫌だと言いながら、
　それでも手が止まらないわね♡』",""
"<ドライアド>
『そんなに嫌なら、
　私の声に合わせるのをやめたらいいじゃない♡
　ほら、シコシコ♡シコシコ♡』",""
"ドライアドは貴方の泣き言を一蹴し、
甘い言葉でリズムをとりながら、顔を乳房ですり潰す。",""
"必死に手を止めようとしても、
甘い香りに意思が溶かされ、操られるように手が止まらない。",""
"<ドライアド>
『あらあら♡手が止められないの？
　嫌なのに、私の声に逆らえないの？
　情けないわね♡』",""
"<ドライアド>
『そんな情けない貴方は、
　このまま自滅オナニーで逝っちゃうのがお似合いよ♡
　シコシコ♡シコシコ♡』",""
"ドライアドは貴方をそう嘲笑しながら、
谷間の甘い香りで閉じ込めたまま、オナニーを強要する。",""
"貴方は彼女の言う未来に恐怖し、
嫌だ、シコシコ言うのをやめてくれ、
そう甘えるように、子供のようにお願いしてしまう。",""
"<ドライアド>
『くすくす♡このままじゃすぐにイっちゃいそう？
　しょうがないわね♡
　シコシコって言うの、やめてあげるわ♡』",""
"そんな貴方のおねだりに、
ドライアドはあっさりと了承すると、
柔らかな乳房でぱふぱふと軽く貴方の顔を撫でる。",""
"<ドライアド>
『ほら、シコシコって言うのをやめてあげたわよ♡
　でも……シコシコ言われなくても貴方は耐えられない♡』",""
"<ドライアド>
『それを、私のおっぱいで教えてあげるわね♡
　むにゅむにゅ♡』",""
"ドライアドは貴方の顔を柔らかな乳房で軽く挟んだまま、
胸を支えながら大きく上下に揺らす。",""
"たぷんたぷんと豊満な乳房が揺れ動き、
もちもちとした柔肌が顔面に擦りつけられ、
貴方は顔面をパイズリされているような快楽に溺れる。",""
"<ドライアド>
『うふふ♡
　私のおっぱいに顔を支配されて気持ちいいかしら？』",""
"<ドライアド>
『甘い香りに包まれながらの顔面パイズリは最高でしょう？
　オナニーしたくなったら、いつでもしていいのよ♡
　むにゅむにゅ♡』",""
"ドライアドは激しく柔らかな乳房を貴方の顔に擦りつける。
乳白色のもちもちとした乳房が揺れるたびに、
貴方はダイレクトに甘い香りを吸い込んでしまい、
身体がしびれてくる。",""
"ダメだと分かっていても、
オナニーがしたい、気持ちよくなりたい、
そんな欲望が貴方の身体の奥底から訴えてくる。",""
"<ドライアド>
『ほらほら♡我慢しなくてもいいのよ♡
　私のおっぱいに顔を揺さぶられて、
　気持ちよくなってしまってもいいの♡』",""
"<ドライアド>
『貴方なんかにこの誘惑が耐えられるはずがないもの♡
　おっぱいの柔らかさと甘い香りに屈しなさい♡
　むにゅむにゅ♡』",""
"濃縮された甘い香りを纏った乳房が、
パイズリする様に貴方の顔を挟んだまま揺れ動く。",""
"その快楽に湧き上がる欲望を必死にこらえるも、
扱いていないにもかかわらず、
我慢汁がとろりと先端から垂れてしまう。",""
"<ドライアド>
『うふふ♡身体が震えているわよ♡
　もうオナニーしたくてしたくてたまらないのよね♡』",""
"<ドライアド>
『さぁ、無様にちんぽ扱きなさい♡
　おっぱいに顔をパイズリされて、
　我慢できずに自滅オナニーしちゃうの♡むにゅむにゅ♡』",""
"見透かすようなドライアドの言葉と、
甘い乳房による顔面への愛撫に貴方の我慢はついに決壊し、
肉棒を握りしめて激しく上下に扱いてしまう。",""
"<ドライアド>
『くすくす♡』
　ほら、やっぱりシコシコって言わなくても、
　オナニー我慢できなかったじゃない♡』",""
"<ドライアド>
『本当に弱い男ね♡
　そのまま自滅オナニーに浸りながら、
　気持ちよくなってなさい♡むにゅぅぅ♡』",""
"待ち望んだ快楽に、
貴方は彼女の乳房に顔をうずめながら溺れてしまい、
肉棒にはすぐに限界がおとずれてしまう。",""
"<ドライアド>
『あらあら♡
　自滅オナニーを再開した途端にイってしまいそうなの？
　情けない早漏ちんぽ♡』",""
"そんな貴方の限界を見抜き、
ドライアドはからかうような声を投げかけながら、
たぷんたぷんと豊満な乳房を貴方の顔に擦りつける。",""
"<ドライアド>
『自分から私に大切なレベルを差し出しちゃうのね♡
　ほら、そのままシコシコしてイっちゃいなさい♡
　むにゅむにゅ♡むにゅぅぅ♡』",""
"<ドライアド>
『うふふ♡結局、自滅オナニーでイっちゃったわ♡
　こんなに濃い精液出しておいて、
　よく嫌だなんて言えたわね♡』",""
"ドライアドは身体にかかった白濁液を手で掬い取りながら、
乳房に顔をうずめたままの貴方にそう嘲笑を浮かべる。",""
"貴方はそんな彼女の言葉に、
羞恥に震えながら後悔に打ちひしがれるしかなかった。",""
"<ドライアド>
『さぁ、もう遠慮はいらないわよね？
　また、気持ちのいい自滅オナニーの時間よ♡
　むにゅぅぅ♡』",""
"ドライアドは貴方の顔を柔らかな乳房で優しく圧迫し、
濃厚な甘い香りで包み込む。",""
"<ドライアド>
『ほら、こうしただけで、
　すぐちんぽ元通りに固くしちゃうんだから単純ね♡』",""
"<ドライアド>
『また自分で惨めに扱いて気持ちよくなりなさい♡
　シコシコ♡シコシコ♡』",""
"顔面を乳房に揺さぶられながら耳に届く、
甘くリズムをとる彼女の言葉に、
貴方は自然と手を動かしてしまう。",""
"嫌だと感じているのに、
身体が言うことを聞かず、
肉棒を上下に扱いて快楽を求めてしまう。",""
"強制されるオナニーに快楽を感じながらも、
貴方は再び嫌だ、やめてくれと彼女に頼み込む。",""
"<ドライアド>
『うふふ♡嘘ばっかりね♡
　さっきもあんなに嫌だ嫌だって言いながら、
　簡単にオナニーしてイっちゃったじゃない♡』",""
"<ドライアド>
『私もそう甘くないの♡チャンスは一度だけ♡
　さっきオナニーを我慢できなかった自分を恨みなさい♡
　シコシコ♡シコシコ♡』",""
"ドライアドは今度は貴方の頼みを聞かず、
甘く声でリズムをとりながら先ほどのように、
マシュマロのように柔らかな乳房を顔面に擦りつける。",""
"貴方がただでさえ耐えきれなかった乳房の感触と香りに、
甘くリズムをとる彼女の声が加われば、
貴方は意思に反して肉棒を扱き続けてしまう。",""
"<ドライアド>
『それに、さっきよりもこうして、
　シコシコって言われながらの自滅オナニーの方が、
　気持ちいいでしょ？女に完全に支配されたオナニー♡』",""
"<ドライアド>
『その証拠に、もう身体がびくびくしているわ♡
　ほらほら♡手を緩めちゃダメよ♡シコシコ♡シコシコ♡』",""
"早々に我慢汁があふれ出し、
貴方はイきそうになってしまっても、
彼女の言葉に従うように手を緩めることが出来ない。",""
"<ドライアド>
『貴方はこのまま、自分でちんぽ扱きながら、
　すべてのレベルを私に差し出せばいいのよ♡
　シコシコ♡シコシコ♡』",""
"ドライアドは楽しそうにそう笑いながら、
貴方の顔を柔らかな乳房で上下に揺さぶる。",""
"貴方はうわごとのように嫌だ嫌だとつぶやきつつも、
手を止めることはできず、精液がのぼってきてしまう。",""
"<ドライアド>
『嫌だなんて言っても無駄♡
　私の声とおっぱいで貴方の意思を捻じ曲げてあげるわ♡
　ほらほら♡もっと激しくシコシコシコ♡』",""
"<ドライアド>
『敵の女に管理されるオナニーで、
　無様にイきなさい♡シコシコシコ♡』",""
"<ドライアド>
『くすくす♡まだ手は止めちゃダメよ♡
　シコシコ♡シコシコ♡』",""
"<ドライアド>
『ほらほら♡休んでる暇はないわよ♡
　シコシコシコ♡シコシコ♡』",""
"身体の感覚すらはっきりしない中で、
貴方はドライアドに命じられるがまま肉棒を扱き続け、
そのレベルの最後の一滴まで吐き出し続けた。",""
"”2層にてマジックサキュバスと戦う”","Fight Witch Succubus on the second floor."
"ウィッチサキュバスと戦闘を行いますか？","Fight Witch Succubus?"
"<マジックサキュバス>
『もう動けないよね、お姉さんの勝ち♡
　勝負もついたことだし、
　これから君のレベルをドレインしちゃうね♡』",""
"<マジックサキュバス>
『安心して？
　レベルドレインアも君が大好きな、
　お姉さんの甘いチャームでやってあげる♡』",""
"マジックサキュバスは、
自身の手袋を妖しげなピンク色に光らせ始める。",""
"戦闘中に何度も見た光景。
自身が敗北した甘い魔力が再び彼女の手に集まる様子に、
貴方は恐れと興奮の入り混じった感情を覚えてしまう。",""
"<マジックサキュバス>
『ふふ♡君のおちんぽ、勃起してる♡
　お姉さんの手にチャームの魔力が籠るのを見てるだけで、
　興奮しちゃったの？』",""
"無意識の勃起してしまったことを彼女に刺激され、
貴方は顔を羞恥で赤く染めてしまう。",""
"<マジックサキュバス>
『そんなに恥ずかしがることないよ♡
　君は、戦いの中でお姉さんの甘い魔力に、
　メロメロになっちゃったんだから♡』",""
"<マジックサキュバス>
『だから、またお姉さんのチャームを味わえるって思ったら、
　おちんぽ勃起しちゃうのは仕方ない♡』",""
"マジックサキュバスは手袋に魔力を込めながら、
くすくすと貴方を笑ってそう言葉を投げかける。",""
"<マジックサキュバス>
『ほら、お姉さんの甘い魔力がたっぷり籠った子の手袋で、
　君のおちんぽをにぎにぎ♡シコシコ♡』",""
"彼女は甘い魔力で包み込むように、
手袋を付けた手で肉棒を握りしめ、軽く上下に動かし始める。",""
"甘い魔力で溶かされるような感覚とともに、
さらさらの感触で擦られる快楽に貴方の肉棒は、
嬉しそうにビクッと彼女の手の中で震えてしまう。",""
"<マジックサキュバス>
『おちんぽビクビクさせて可愛い♡
　こんな風に喜んでくれるとお姉さんも嬉しいよ♡』",""
"<マジックサキュバス>
『もう一度、この手コキで気持ちよくなっちゃおうね♡
　君のレベル、全部精液に変換して出させてあげる♡
　シコシコ♡シコシコ♡』",""
"マジックサキュバスは適度な握力で肉棒を握りしめると、
甘い魔力を肉棒になじませるように、
シュッシュとリズムカルに手を動かしていく。",""
"彼女の指が敏感な亀頭に触れ、手袋で裏筋を擦られるたびに、
甘い快楽の電流がより強くなって貴方を襲う。",""
"それでも貴方は身体をビクビクと反応させながらも、
レベルを全て放出した未来を考え、
そうならない様にと快感を必死にこらえようとする。",""
"<マジックサキュバス>
『くすくす♪また戦いの時と同じように、
　お姉さんの責めを我慢するつもりなんっだね♡』",""
"<マジックサキュバス>
『その結末は、分かってるはずなのにね♡
　君は我慢できなかったから、
　お姉さんに負けちゃったんだよ？』",""
"<マジックサキュバス>
『君が我慢しようとなんてしても無駄なんだぞ♡
　それでも、まだ無用な意地を張るのかな？シコシコ♡』",""
"マジックサキュバスの言葉が、快楽とともに貴方に浸透する。
それでも、貴方は彼女の言葉を否定する様に、
歯を食いしばって、快楽に耐え続ける。",""
"<マジックサキュバス>
『そっか、そんなにお姉さんに無理やりイかされたいんだ♡
　さっきの戦いで、限界まで我慢して、
　強制的にイかされる快楽の虜になっちゃったんだね♡』",""
"<マジックサキュバス>
『いいよ♡それじゃあお姉さんが君に、
　すごく気持ちのいい敗北射精をプレゼントしてあげる♡
　シコシコ♡シコシコ♡』",""
"彼女は楽しそうに笑いながら、
甘い魔力を塗り込むように握力を強くして肉棒を激しく扱く。",""
"甘い女体が肉棒全体に絡みつくような圧迫感が強くなり、
さらさらとした生地の感触に激しく肉棒を扱かれると、
貴方は思わず喘ぐような声が漏れてしまう。",""
"<マジックサキュバス>
『くすくす♪お姉さんが本気を出したら、
　すぐにそんな恥ずかしい声出ちゃうんだね♡』",""
"<マジックサキュバス>
『こんな調子じゃ、すぐにおちんぽ降参しちゃうぞ♡
　気持ちいい射精のためにもっと頑張ってこらえて♡
　ほら、ほら♡シコシコ♡』",""
"マジックサキュバスはそう言いながら、
的確に弱点に指を添わせて、激しく肉棒を扱く。",""
"甘い魔力がこもった指先が弱点を擦り、
包み込まれるように激しく肉棒を扱かれると、
貴方は漏れる喘ぎ声を止めることが出来ない。",""
"<マジックサキュバス>
『ふふ♡我慢しようとしても恥ずかしい声出てきちゃう♡
　お姉さんの責めを耐えようとしてたのに、
　簡単にそんな恥ずかしい声出しちゃって恥ずかしいね♡』",""
"マジックサキュバスの言葉に羞恥を煽られながらも、
貴方は激しい彼女の手コキに、
肉棒から我慢汁を溢れ出させてしまう。",""
"<マジックサキュバス>
『あ、もうぬるぬるも出てちゃった♡
　そろそろお姉さんの甘いチャームの魔力に降参かな？』",""
"<マジックサキュバス>
『大切なレベル、
　君を倒したお姉さんに無理やり搾られちゃうのかな？
　シコシコ♡シコシコ♡』",""
"彼女はさらに煽るような言葉を貴方に投げかけながら、
我慢汁を手袋になじませ、ぬるぬるとした感触で、
激しく肉棒を扱いて辺りに卑猥な音を響かせる。",""
"ぐちゅぐちゅと音を立てながらの激しい彼女の手コキに、
貴方の我慢は着実に削られ、
射精がどんどん近づいてきてしまう。",""
"<マジックサキュバス>
『腰がびくびくしてきたね♡
　我慢の限界が近づいてる証拠♡もうすぐ君は、
　お姉さんに敗北射精させられちゃうんだぞ♡シコシコ♡』",""
"貴方の反応を目ざとく見抜いたマジックサキュバスは、
ラストスパートに入る様に手の上下運動をさらに激しくする。",""
"貴方はそんな激しい快楽に流されながらも、
レベルを吸い尽くされればその先は……………
それを考えてしまう。",""
"それでもこのままではすぐにイってしまう、そんな思いから、
貴方は彼女のどこか甘く優しそうな雰囲気に賭け、
もうやめてほしいと途切れ途切れに頼み込む。",""
