"攻撃","Attack"
"メイド長は甘く愛情たっぷりにキスをする。","She passionately kissed you."
"メイド長は甘く柔らかな唇で\n[1]から力を吸い出す。","She sucked your power with her soft lips."
"メイド長は器用に両足で肉棒を弄ぶ。","She skillfully toyed your penis with both feet."
"メイド長は弱点に足指を絡みつかせ、肉棒を愛撫する。","She rubbed your weak spots with her toes in footjob."
"メイド長誘惑",""
"回復",""
"ブレイブソード","Brave Sword
"
"祈りを込めた剣で敵を切り裂く。
威力:☆×12","Infuse your sword with a prayer and slash your foe.
Power:☆×12"
"は勢いよく剣で切り裂いた"," slashed down the foe with great force.
"
"連続キス",""
"の連続キス"," used Chain Kiss."
"アルは柔らかな唇を肉棒の先端に押し付ける。","She pressed her soft lips on the tip of your penis."
"アルはちゅっと音を立てて先端に唇を落とす。","She loudly smooched on the tip of your penis."
"全身コキ",""
"の全身コキ"," used Bodyjob."
"アルは柔らかな肢体全体を肉棒に擦りつける。","She rubbed your penis with her whole body."
"アルはむにゅむにゅと肉棒を肢体で愛撫する。","She tightly rubbed her body on your penis."
"は肢体全体で精液を搾り取る。"," drained your semen in bodyjob."
"アルの誘惑",""
"追い詰める一撃","Cornering Blow"
"敵を追い詰める攻撃。
誘惑が発生する体力まで敵のHPを削る","Strike to corner your enemy with a single blow.
Lowers enemy HP to temptation range."
"の追い詰める一撃！"," used Cornering Blow!"
"\n[1]は敵を追い詰める！","\n[1] cornered the enemy!"
"抱擁",""
"の抱擁。",""
"フレイは柔らかな全身で\n[1]を抱きしめる。",""
"フレイは柔らかな肢体で\n[1]の身体を包み込む。",""
"甘い乳房による愛撫が\n[1]の肉棒を襲う。",""
"フレイは豊満な乳房で肉棒を揺さぶる。",""
"想いの剣",""
"強い意志の力でフレイを切り裂く。
威力:☆×11",""
"意志の力でフレイを切り裂く。
威力:☆×10",""
"意志の力でフレイを切り裂く。
威力:☆×9",""
"弱々しい意志の力でフレイを切り裂く。
威力:☆☆☆☆☆☆☆",""
"弱々しい意志の力でフレイを切り裂く。
威力:☆☆☆☆☆",""
"負け犬の剣",""
"フレイに心を奪われたまま剣を振るう。
威力:☆☆",""
"フレイに見惚れる",""
"フレイに見惚れてしまう。
想いの剣の弱体化・フレイのHP1000回復・フレイの攻撃力up",""
"乳首責め",""
"の乳首責め"," used Nipple Play."
"優香は細い指先で\n[1]の乳首を弄った","She toyed your nipples with her fingers."
"優香は柔らかな唇を窄めて\n[1]の乳首を吸い上げる","She sucked your nipple between her lips."
"の乳首舐め手コキ"," used Nipple Licking Handjob."
"優香は舌で\n[1]の乳首を弄りながら肉棒を扱く","She stroked your penis and licked your nipple."
"優香は\n[1]の乳首と肉棒を同時に責め立てる","She toyed your nipple and penis at the same time."
"は乳首舐め手コキで精液を搾り取る"," drained your semen in nipple licking handjob."
"はアルへの想いを剣にのせて切り裂く",""
"は弱々しく剣で切り裂く",""
"はフレイに見惚れながら剣を振るう",""
"強い意志の力でフレイを切り裂く。
威力:☆×12",""
"おっぱいシェイク",""
"のおっぱいシェイク"," used Breast Shake."
"恭子は豊満な乳房で\n[1]の顔を揺さぶった","She shook her massive breasts on your face."
"恭子は乳房を揺らして甘い衝撃を\n[1]の顔に伝える","She smacked your face with her breasts!"
"パフパフ＆太ももコキ",""
"のパフパフ＆太ももコキ"," used Breast Smothering Thighjob!"
"恭子は\n[1]の顔を乳房で圧迫し、肉棒を太ももで撫でる","She smothered you and thigh-stroked your penis!"
"恭子は太ももとおっぱいで精を搾り取る","Kyouko drained your semen with breast something thighjob!"
"のヒップアタック"," used Hip Attack."
"バニーガールは\n[1]に柔らかなお尻を打ち付ける","Bunny Girl hit you with her soft ass."
"バニーガールは\n[1]の股間にお尻をむぎゅっと押し付ける","Bunny GIrl nailed her ass on your groin."
"膝コキ",""
"の膝コキ"," used Kneepitjob"
"バニーガールは膝に肉棒を挟んで上下に扱く","Bunny Girl stroked your penis in her kneepit."
"バニーガールは膝でみっちりと肉棒を締め付けて愛撫する","Bunny girl tightly stroked you in her kneepit."
"は膝コキで精液を搾り取る"," drained your semen in kneepitjob."
"バニーガールの誘惑",""
"の投げキッス"," used Blown Kiss."
"六花は可愛らしく投げキッスでハートを飛ばした","She cutely blew a heart your way."
"六花は扇情的な投げキッスで\n[1]にハートを撃ちだす","She seductively blew a heart at you."
"の足コキ"," used Footjob."
"六花は白ニーソに包まれた足で\n[1]の肉棒を踏みつける","She trampled your penis with her foot clad in socks."
"六花は小さな足裏でぐりぐりと\n[1]の肉棒を踏みにじる","She grinded your penis under her sole."
"は足コキで精液を搾り取る"," drained your semen in footjob."
"六花（アプデ）の誘惑",""
"手コキ",""
"のシコシコ♡"," used Whispering Handjob."
"桃香は甘ったるい声で囁きながら肉棒を扱く","She whispered in your ear while stroking your penis."
"桃香は笑みを浮かべながら肉棒を扱く","She stroked your penis with a grin."
"はシコシコ♡で精液を搾りとる"," drained your semen in whispering handjob."
"桃香の誘惑",""
"の授乳手コキ"," used Nursing Handjob."
"桃香は\n[1]の顔を乳房で圧迫し、肉棒を上下に扱く",""
"は授乳手コキで精を搾り取る"," drained your semen in nursing handjob."
"六花を想う",""
"六花を想い、負けられないと決意を固める。
5ターンの間全能力-20％ダウンの解除・ターン消費なし",""
"桃香は耳元で甘い声を出しながら\n[1]の肉棒を扱く",""
"はシコシコ♡で精を搾り取る",""
"のパイズリ"," used Boobjob."
"桃香は肉棒を乳房で圧迫し、柔らかな感触を刷り込んでいく",""
"はパイズリで精を搾り取る"," drained your semen in boobjob."
